,Review,Rating
0,"[[('plataform', 'NOUN'), ('aplic', 'ADJ')], [('tem', 'VERB'), ('assunt', 'NOUN'), ('respec', 'ADJ'), ('matér', 'NOUN'), ('estud', 'VERB'), ('ensin', 'NOUN'), ('médi', 'ADJ')], [('diss', 'NOUN'), ('é', 'VERB'), ('ótim', 'ADJ'), ('vai', 'VERB'), ('prest', 'VERB'), ('vestibul', 'NOUN')], [('é', 'VERB'), ('possível', 'ADJ'), ('estud', 'VERB'), ('lug', 'NOUN'), ('hor', 'NOUN')], [('parabém', 'NOUN'), ('equip', 'NOUN')], [('sucess', 'NOUN')]]",5
1,"[[('perfeit', 'ADJ'), ('aul', 'NOUN'), ('profes', 'NOUN'), ('métod', 'NOUN'), ('problem', 'NOUN'), ('é', 'VERB'), ('err', 'NOUN'), ('fic', 'VERB'), ('dand', 'VERB'), ('&', 'NOUN'), ('quot', 'NOUN'), ('opa', 'NOUN'), ('deu', 'VERB'), ('ruim', 'ADJ'), ('dá', 'VERB'), ('pass', 'VERB'), ('&', 'NOUN'), ('quot', 'NOUN'), ('temp', 'NOUN'), ('marc', 'NOUN'), (""d'águ"", 'NOUN'), ('descompl', 'NOUN'), ('fic', 'VERB'), ('frent', 'NOUN'), ('text', 'NOUN'), ('quadr', 'NOUN'), ('vez', 'NOUN')]]",3
2,"[[('app', 'NOUN'), ('cumpr', 'VERB'), ('necess', 'NOUN'), ('falt', 'NOUN'), ('dar', 'VERB'), ('opç', 'NOUN'), ('coloc', 'VERB'), ('vide', 'NOUN'), ('baix', 'VERB'), ('cart', 'NOUN'), ('memór', 'NOUN')]]",3
3,[[]],5
4,"[[('great', 'NOUN')]]",5
5,"[[('é', 'VERB'), ('util', 'NOUN'), ('por', 'VERB'), ('celul', 'ADJ'), ('tir', 'VERB'), ('foc', 'NOUN'), ('😂', 'NOUN')]]",4
6,"[[('feedback', 'NOUN'), ('horr', 'ADJ'), ('descobr', 'VERB'), ('empr', 'NOUN'), ('patrocíni', 'NOUN'), ('futebol', 'NOUN')], [('apresent', 'VERB'), ('post', 'NOUN'), ('desprez', 'NOUN'), ('parc', 'NOUN'), ('comerc', 'ADJ'), ('imagin', 'VERB'), ('pod', 'VERB'), ('faz', 'VERB'), ('client', 'NOUN')]]",1
7,"[[('é', 'VERB'), ('maravilh', 'ADJ'), ('celul', 'ADJ'), ('aul', 'NOUN'), ('viv', 'ADJ'), ('fic', 'VERB'), ('aul', 'NOUN'), ('viv', 'ADJ'), ('acontec', 'VERB')]]",4
8,"[[('amo', 'VERB')]]",5
9,"[[('bom', 'ADJ'), ('sent', 'VERB'), ('falt', 'NOUN'), ('exercíci', 'NOUN'), ('vers', 'NOUN'), ('web', 'NOUN')]]",4
10,"[[('fant', 'ADJ')]]",5
11,"[[('amo', 'VERB'), ('curs', 'NOUN'), ('aplic', 'ADJ'), ('é', 'VERB'), ('útil', 'ADJ')], [('ach', 'VERB'), ('maior', 'NOUN'), ('pesso', 'NOUN'), ('baix', 'VERB'), ('app', 'NOUN'), ('gost', 'VERB'), ('acess', 'VERB'), ('tem', 'NOUN'), ('red', 'NOUN')]]",3
12,"[[('the', 'NOUN'), ('best', 'NOUN'), ('option', 'NOUN'), ('to', 'NOUN'), ('prepar', 'NOUN'), ('en', 'NOUN'), ('ex', 'NOUN'), ('brazilian', 'NOUN'), ('universiti', 'NOUN')]]",5
13,"[[('plataform', 'NOUN'), ('descompl', 'NOUN'), ('maravilh', 'NOUN')], []]",5
14,"[[('plataform', 'NOUN'), ('equip', 'NOUN'), ('maravilh', 'NOUN')]]",5
15,"[[('ótim', 'ADJ'), ('plataform', 'NOUN'), ('estud', 'NOUN')]]",5
16,"[[('aplic', 'ADJ'), ('ótim', 'ADJ')]]",5
17,"[[('thank', 'NOUN')], [('descompl', 'NOUN'), ('💜💜', 'NOUN')]]",5
18,"[[('bom', 'ADJ'), ('app', 'NOUN')]]",5
19,"[[('muuuit', 'NOUN'), ('bom', 'ADJ')], [('melhor', 'ADJ'), ('aprend', 'VERB'), ('ev', 'NOUN')], []]",5
20,"[[('bom', 'ADJ')]]",5
21,"[[('very', 'NOUN'), ('good', 'NOUN')]]",5
22,"[[('top', 'ADJ')]]",5
23,"[[('melhor', 'ADJ'), ('profes', 'NOUN'), ('vida😍', 'NOUN')]]",5
24,"[[('gost', 'VERB'), ('dess', 'VERB'), ('mont', 'VERB'), ('plan', 'NOUN'), ('estud', 'NOUN'), ('dess', 'VERB'), ('lembret', 'NOUN'), ('ter', 'VERB'), ('resolv', 'VERB'), ('exercíci', 'NOUN'), ('aplic', 'ADJ'), ('jog', 'NOUN'), ('ranking', 'NOUN'), ('espaç', 'NOUN'), ('faz', 'VERB'), ('red', 'NOUN'), ('precis', 'VERB'), ('ir', 'VERB'), ('sit', 'NOUN')], [('ajud', 'VERB'), ('muit', 'NOUN'), ('ano', 'NOUN')], [('❤', 'NOUN')]]",4
25,"[[('pod', 'VERB'), ('ter', 'VERB'), ('part', 'NOUN'), ('envi', 'VERB'), ('red', 'NOUN')]]",5
26,[[]],5
27,"[[('é', 'VERB'), ('alun', 'NOUN'), ('vc', 'NOUN')], [('ser', 'VERB'), ('interess', 'ADJ'), ('coloc', 'VERB'), ('esquem', 'NOUN'), ('porcent', 'NOUN'), ('gent', 'NOUN'), ('sab', 'VERB'), ('tá', 'VERB'), ('download', 'NOUN'), ('aul', 'NOUN'), ('sab', 'VERB'), ('é', 'VERB'), ('ruim', 'ADJ'), ('pod', 'VERB'), ('ver', 'VERB')], [('coloc', 'VERB'), ('sess', 'NOUN'), ('exercíci', 'NOUN'), ('pod', 'NOUN'), ('acess', 'VERB'), ('celul', 'ADJ'), ('vez', 'NOUN'), ('gent', 'NOUN'), ('tá', 'VERB'), ('ônibu', 'NOUN'), ('cas', 'NOUN'), ('faz', 'VERB'), ('exercíci', 'NOUN')], [('fic', 'VERB'), ('sugest', 'NOUN'), ('descomplic', 'VERB'), ('pedaç', 'NOUN'), ('vid', 'NOUN'), ('kk', 'NOUN'), ('abraç', 'NOUN')]]",4
