,Review,Rating
0,"[[('App', 'NOUN'), ('tava', 'NOUN'), ('CNH', 'NOUN'), ('provisoria', 'NOUN'), ('venceu', 'VERB'), ('solicitei', 'VERB'), ('nova', 'ADJ')], [('apresenta', 'VERB'), ('antiga', 'ADJ')], [('detran', 'NOUN'), ('informou', 'VERB'), ('ja', 'NOUN'), ('OK', 'NOUN'), ('sistema', 'NOUN'), ('estadual', 'ADJ'), ('nacional', 'ADJ')], [('faco', 'NOUN'), ('pro', 'NOUN'), ('mostrar', 'VERB'), ('CNH', 'NOUN'), ('nova', 'NOUN')], [('CNH', 'NOUN'), ('Digital', 'NOUN'), ('atualizada', 'VERB')], [('Porem', 'VERB'), ('notificação', 'NOUN'), ('loguei', 'VERB'), ('percebi', 'VERB'), ('faixa', 'NOUN'), ('vermelha', 'ADJ'), ('mensagem', 'NOUN'), ('CNH', 'NOUN'), ('VENCIDA', 'NOUN'), ('nao', 'NOUN'), ('aparecia', 'VERB'), ('CNH', 'NOUN'), ('exibida', 'VERB'), ('CNH', 'NOUN'), ('antiga', 'ADJ')], [('fazer', 'VERB'), ('logoff', 'NOUN'), ('loguei', 'VERB'), ('ai', 'NOUN'), ('CNH', 'NOUN'), ('nova', 'NOUN'), ('exibida', 'VERB')]]",4
1,"[[('burocracia', 'NOUN'), ('restrições', 'NOUN'), ('realizar', 'VERB'), ('cadastro', 'NOUN')], [('intuito', 'NOUN'), ('facilitar', 'VERB'), ('vida', 'NOUN'), ('cidadão', 'NOUN'), ('tiro', 'NOUN'), ('saiu', 'VERB')], [('É', 'VERB'), ('simples', 'ADJ'), ('andar', 'NOUN'), ('CNH', 'NOUN'), ('física', 'ADJ'), ('submeter', 'VERB'), ('perrengue', 'VERB'), ('conseguir', 'VERB'), ('cadastrar', 'VERB')]]",1
2,"[[('Meses', 'NOUN'), ('baixei', 'VERB'), ('aplicativo', 'ADJ'), ('funcionou', 'VERB'), ('exclui', 'VERB'), ('aplicativo', 'ADJ'), ('celular', 'ADJ')], [('baixei', 'VERB'), ('dispositivo', 'NOUN'), ('tento', 'VERB'), ('entrar', 'VERB'), ('aparece', 'VERB'), ('mensagem', 'NOUN'), ('erro', 'NOUN'), ('dizendo', 'VERB'), ('login', 'NOUN'), ('feito', 'VERB'), ('dispositivo', 'NOUN'), ('preciso', 'ADJ'), ('bloquear', 'VERB'), ('acesso', 'NOUN'), ('dispositivo', 'NOUN')], [('fiz', 'VERB'), ('login', 'NOUN'), ('dispositivo', 'NOUN')], [('têm', 'VERB'), ('resolver', 'VERB')], [('Obrigado', 'VERB')]]",2
3,"[[('faz', 'VERB'), ('sentido', 'NOUN'), ('ter', 'VERB'), ('Detran', 'NOUN'), ('atualizar', 'VERB'), ('dados', 'NOUN'), ('atualizados', 'VERB')], [('Pura', 'NOUN'), ('perda', 'NOUN'), ('tempo', 'NOUN')], [('percam', 'VERB'), ('tempo', 'NOUN')]]",1
4,"[[('grande', 'ADJ'), ('impecilio', 'NOUN'), ('é', 'VERB'), ('ter', 'VERB'), ('q', 'NOUN'), ('ir', 'VERB'), ('cfc', 'NOUN'), ('caso', 'NOUN'), ('pq', 'NOUN'), ('passei', 'VERB'), ('frente', 'NOUN'), ('q', 'NOUN'), ('ir', 'VERB'), ('gente', 'NOUN'), ('CNH', 'NOUN'), ('digital', 'ADJ')]]",4
5,"[[('Processo', 'NOUN'), ('horrível', 'ADJ'), ('reclamações', 'NOUN'), ('elogios', 'NOUN'), ('Google', 'NOUN'), ('Play', 'NOUN'), ('desenvolvedores', 'NOUN'), ('aceitarem', 'VERB'), ('sugestões', 'NOUN'), ('ficam', 'VERB'), ('tentando', 'VERB'), ('dar', 'VERB'), ('justificativas', 'NOUN'), ('processo', 'NOUN'), ('burocrático', 'ADJ'), ('via', 'NOUN'), ('CNH', 'NOUN'), ('papel', 'NOUN')], [('ouviram', 'VERB'), ('falar', 'VERB'), ('Experiência', 'NOUN'), ('Usuário', 'NOUN')], [('Coloquem', 'VERB'), ('sugestões', 'NOUN'), ('backlog', 'NOUN'), ('façam', 'VERB'), ('melhorias', 'NOUN')]]",1
6,"[[('Está', 'VERB'), ('pedindo', 'VERB'), ('certificado', 'VERB'), ('digital', 'ADJ'), ('q', 'NOUN'), ('ir', 'VERB'), ('cfc', 'NOUN')], [('Achei', 'VERB'), ('q', 'NOUN'), ('negócio', 'NOUN'), ('online', 'NOUN'), ('desta', 'NOUN'), ('forma', 'NOUN'), ('vai', 'VERB'), ('frente', 'NOUN')]]",1
7,"[[('N', 'NOUN'), ('to', 'NOUN'), ('conseguindo', 'VERB'), ('acessar', 'VERB'), ('diz', 'VERB'), ('q', 'NOUN'), ('ativar', 'VERB'), ('conta', 'NOUN'), ('sendo', 'VERB'), ('q', 'NOUN'), ('ja', 'NOUN'), ('recebi', 'VERB'), ('e-mail', 'NOUN'), ('ativei', 'VERB')]]",1
8,"[[('prático', 'ADJ')], [('ter', 'VERB'), ('problemas', 'NOUN'), ('aconselho', 'NOUN'), ('descaracterizar', 'VERB'), ('CNH', 'NOUN'), ('antiga', 'ADJ'), ('desfazer', 'VERB'), ('digo', 'VERB'), ('vencida', 'VERB')], [('considero', 'VERB'), ('falha', 'NOUN'), ('grave', 'ADJ'), ('segurança', 'NOUN')], [('interessados', 'NOUN'), ('resolver', 'VERB'), ('responder', 'VERB'), ('avaliação', 'NOUN')]]",4
9,"[[('Tem', 'VERB'), ('ir', 'VERB'), ('detran', 'NOUN'), ('prático', 'ADJ')]]",1
10,"[[('Começou', 'VERB')], [('melhor', 'ADJ'), ('fizessem', 'VERB'), ('integração', 'NOUN'), ('aplicativo', 'ADJ'), ('SNE', 'NOUN'), ('Denatran', 'NOUN'), ('serve', 'VERB'), ('emitir', 'VERB'), ('multas', 'NOUN'), ('cobranças', 'NOUN')], [('veículos', 'NOUN'), ('cadastrados', 'VERB'), ('CPF', 'NOUN')], [('CNH', 'NOUN'), ('digital', 'ADJ'), ('conter', 'VERB'), ('CRV', 'NOUN'), ('digital', 'ADJ'), ('veículos', 'NOUN')], [('artigo', 'NOUN')], [('*quase*', 'NOUN'), ('eximou', 'VERB'), ('necessidade', 'NOUN'), ('portar', 'VERB'), ('CRV', 'NOUN')]]",3
11,"[[('caso', 'NOUN'), ('fiquei', 'VERB'), ('tempo', 'NOUN'), ('esperando', 'VERB'), ('e-mail', 'NOUN'), ('chegar', 'VERB'), ('caixa', 'NOUN'), ('correio', 'NOUN'), ('eletrônico', 'ADJ'), ('fiquei', 'VERB'), ('assustado', 'VERB'), ('pensando', 'VERB'), ('ser', 'VERB'), ('fraude', 'NOUN')], [('recadastrei', 'VERB'), ('conta', 'VERB'), ('e-mail', 'NOUN'), ('recebi', 'VERB'), ('link', 'NOUN'), ('ativação', 'NOUN'), ('pensei', 'VERB'), ('acessar', 'VERB'), ('apresentou', 'VERB'), ('mensagem', 'NOUN'), ('CNH', 'NOUN'), ('possui', 'VERB'), ('QR', 'NOUN'), ('Code', 'NOUN')], [('item', 'NOUN'), ('é', 'VERB'), ('pré-requisito', 'NOUN'), ('emissão', 'NOUN'), ('CNH', 'NOUN'), ('Digital', 'NOUN')], [('CNH', 'NOUN'), ('renovada', 'VERB'), ('tempo', 'NOUN'), ('esperar', 'VERB'), ('próxima', 'ADJ'), ('renovação', 'NOUN'), ('ter', 'VERB'), ('acesso', 'NOUN'), ('verão', 'NOUN'), ('digital', 'ADJ')]]",1
12,"[[('adianta', 'VERB'), ('criar', 'VERB'), ('CNH', 'NOUN'), ('digital', 'ADJ'), ('cadastrar', 'VERB'), ('é', 'VERB'), ('burocracia', 'NOUN')]]",1
